DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE
aquifer,body of rock,,,can store and transmit significant quantities of water,,,"An aquifer is a body of rock that can store and transmit significant quantities of water (Gunn, 2004)."
Aragonite,modification of CaCO3,,,,,,"Aragonite is a metastable modification of CaCO3, which sometimes forms in seawater and transforms into calcite during diagenesis."
artesian aquifer,aquifer,,bounded on top and bottom by confining beds,,,,"When an aquifer is bounded on top and bottom by confining beds, it is called an artesian aquifer."
bedding-plane cave,passage,,not enlarged by growth into a major tube or canyon,,has remained almost entirely on the bedding plane,,"The term bedding-plane cave is strictly applied to a passage that has not enlarged by growth into a major tube or canyon, but has remained almost entirely on the bedding plane."
A cave,underground void,,,,,large enough to be examined in some way by man,"A cave is an airfilled underground void, large enough to be examined in some way by man."
cirque-dolines,Glacial cirques,have been transformed by solution into closed depressions,,,,,"Glacial cirques have been transformed by solution into closed depressions, and are called cirque-dolines."
confining bed,Less permeable rock below an aquifer,,,keeps groundwater from draining away,,,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).
aquitard aquiclude,Less permeable rock below an aquifer,,,keeps groundwater from draining away,,,Less permeable rock below an aquifer that keeps groundwater from draining away is called a confining bed (also known as aquitard or aquiclude).
contact karst,Karst,formed by the influence surface river flow,,,,,Karst formed by the influence surface river flow could be designated by the term of contact karst.
Dolomite,rock,,,,,,Dolomite is a type of rock that dissolves and is karstified similarly as limestone.
drawdown,vertical change in the level of the potentiometric surface,,,,,,The vertical change in the level of the potentiometric surface at the well is called the drawdown.
Dry valley,valley,,,,,,"Dry valley is a valley that generally lacks a stream, although one may occasionally form during peak rainfall events."
Endokarst,karst,where the internal ( telluric ) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength,,,in the lower part of the karstosphere,,"Endokarst is defined as karst developing in the lower part of the karstosphere, where the internal (telluric) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength."
epikarst,zone of exposed karst rock,,,,uppermost zone of exposed karst rock,,"The epikarst is defined as the uppermost zone of exposed karst rock, in which permeability due to fissuring and karstification is higher and more uniformly distributed than in the rock mass below."
subcutaneous zone,highly corroded zone,,highly corroded,,near the surface,,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
epikarst,highly corroded zone,,highly corroded,,near the surface,,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.
estavelle,hole,,,,,,The term estavelle was first used in the Jura but is now used fairly widely for a hole which is at one time of the year a swallow hole and at another time a spring.
Colluvial transport,movement of sediments,without the assistance of water,,,down-slope,,Colluvial transport is down-slope movement of sediments without the assistance of water.
Stalactites,,,,,hanging from the ceiling,centimeter to meter in scale,"Stalactites are centimeter to meter in scale, hanging from the ceiling and growing toward the cave floor."
Stalagmitic flowstones,stalagmite,formed by a thin flowing film of water itself fed by groups of dripping stalactites,,,coat the cave floor and walls,,"Stalagmitic flowstones are a particular type of stalagmite formed by a thin flowing film of water itself fed by groups of dripping stalactites, and coat the cave floor and walls. are a"
Soda straws,speleothems,generated by axial feeding,characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth,,,,"Soda straws are speleothems generated by axial feeding, and characterized by a central canal with constant diameter and by a wall structure that is controlled by geometric selection during growth on the meniscus of a drip."
Stalagmites,deposits,fed by an overhanging stalactite,"show flat , rounded , or slightly hollow tops , but not a central canal|convex deposits that grow upward",,,,"Stalagmites are convex deposits that grow upward, commonly fed by an overhanging stalactite, and show flat, rounded, or slightly hollow tops, but not a central canal."
sinkhole,,,,,,,"In order for a sinkhole to form in the first place, there are three requirements: a drainage path for the surface water runoff to follow; a zone of bedrock modified by solution located at or near the surface; and a covering of soil or some other material making up the land surface (this last is not an absolute requirement; when that cover is absent, certain types of sinkholes can still form)."
swallow holes,point,,,,the point at which a sinking stream heads underground,,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground."
ponors,point,,,,the point at which a sinking stream heads underground,,"Also known as ponors, swallow holes are the point at which a sinking stream heads underground."
Swallow holes,drainage features,,"sinkholes that form in a stream bed , often with a large vertical shaft beneath",direct runoff into an underground channelóin,,,"Swallow holes are surface drainage features that direct runoff into an underground channelóin other words, they are sinkholes that form in a stream bed, often with a large vertical shaft beneath."
Intrastratal karstification,preferential dissolution,,,,,,"Intrastratal karstification refers to the preferential dissolution of a particular bed or other unit within a sequence of soluble rocks, e.g. a gypsum bed in a dolomite formation."
Exokarst,karst,,,,at the surface,,Exokarst refers to the suit of karst features developed at the surface. at the surface
Cryptokarst,karst,,,,,,"Cryptokarst refers to karst forms developed beneath a blanket of permeable sediments such as soil, till, periglacial deposits and residual clays."
pseudokarst,Karst-like landforms,produced by processes other than dissolution or corrosion-induced subsidence and collapse,Karst-like landforms,,,,Karst-like landforms produced by processes other than dissolution or corrosion-induced subsidence and collapse are known as pseudokarst.
Thermokarst,topographic depressions,resulting from thawing of ground ice,,,,,Thermokarst is a related term applied to topographic depressions resulting from thawing of ground ice. ground ice
Holokarst,karst,,,,extending well below baselevel,,"Holokarst is pure karst uninfluenced by other rocks, and is developed on thick limestones extending well below baselevel."
swallow holes,,,,Concentrated inflows of water from allogenic sources sink underground,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
stream-sinks ponors,,,,Concentrated inflows of water from allogenic sources sink underground,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
swallets,,,,Concentrated inflows of water from allogenic sources sink underground,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
travertine,calcite,,"well layered , quite lustrous and lacks framing plant content",,,,"In contrast, travertine is crystalline, dense calcite that is often well layered, quite lustrous and lacks framing plant content."
Tufa,material,where rapid deposition is encouraged by evaporation,,,near cave entrances,,Tufa refers to softer porous material found near cave entrances where rapid deposition is encouraged by evaporation.
cave pearls,spheres,,spheres,,,range ~ 0.2 to 10 – 15 mm in diameter,Ideal cave pearls are spheres that range ~ 0.2 to 10 – 15 mm in diameter.
