Sentence,Word,Tag
Sentence 1,Erosion,DFD
,is,O
,a,O
,hydraulic,O
,action,REG
,",",O
,derived,O
,from,REG
,the,REG
,energy,REG
,of,REG
,running,REG
,water,REG
,.,O
Sentence 2,A,O
,fault,DFD
,is,O
,a,O
,fracture,O
,along,REG
,which,O
,movement,REG
,associated,REG
,with,REG
,an,O
,earthquake,REG
,has,REG
,taken,O
,place,REG
,",",O
,one,REG
,side,REG
,of,REG
,the,REG
,fault,REG
,moving,REG
,differentially,REG
,to,REG
,the,REG
,other,O
,side,REG
,.,O
Sentence 3,Dreikanter,DFD
,is,O
,a,REG
,shaped,REG
,pebble,REG
,found,REG
,on,REG
,the,REG
,surface,REG
,in,REG
,desert,REG
,regions,REG
,and,REG
,periglacial,REG
,areas,REG
,with,REG
,three,REG
,distinct,REG
,facets,REG
,on,REG
,its,REG
,upper,REG
,surface,REG
,as,REG
,a,REG
,result,REG
,of,REG
,wind,REG
,abrasion,REG
,.,O
Sentence 4,Drift,DFD
,ice,DFD
,is,O
,any,O
,type,O
,of,O
,floating,O
,ice,O
,that,O
,has,O
,drifted,O
,from,REG
,its,REG
,point,O
,of,O
,origin,O
,and,O
,broken,O
,into,REG
,pieces,REG
,small,REG
,enough,REG
,for,O
,a,O
,ship,O
,to,O
,sail,REG
,through,REG
,.,O
Sentence 5,Ferricrete,DFD
,is,O
,a,O
,type,O
,of,O
,duricrust,O
,consisting,O
,of,O
,an,O
,iron-pan,REG
,or,O
,near-surface,REG
,zone,O
,of,O
,iron,O
,sesquioxide,O
,cementation,O
,.,O
Sentence 6,Fiard,DFD
,is,O
,a,O
,coastal,O
,inlet,O
,produced,REG
,by,REG
,the,REG
,drowning,REG
,of,REG
,an,O
,undulating,REG
,landscape,O
,of,O
,shallow,REG
,valleys,O
,and,O
,low,REG
,interfluves,REG
,.,O
Sentence 7,Foreshore,DFD
,is,O
,the,REG
,part,O
,of,REG
,a,O
,coast,REG
,lying,O
,between,REG
,the,REG
,lowest,REG
,low-water,REG
,line,REG
,and,REG
,the,REG
,average,REG
,high-water,REG
,mark,REG
,.,O
Sentence 8,Honeycomb,DFD
,weathering,DFD
,is,O
,a,O
,term,O
,used,O
,to,REG
,describe,O
,numerous,O
,small,REG
,pits,REG
,or,REG
,alveoli,REG
,",",O
,no,REG
,more,O
,than,REG
,a,O
,few,REG
,centimetres,O
,wide,REG
,and,O
,deep,REG
,",",O
,separated,REG
,by,REG
,an,O
,intricate,REG
,network,O
,of,O
,narrow,REG
,walls,REG
,and,O
,resembling,REG
,a,O
,honeycomb,REG
,.,O
,##ing,REG
Sentence 9,Tectonic,DFD
,denudation,DFD
,is,O
,a,O
,term,O
,that,O
,describes,REG
,the,REG
,unloading,REG
,of,REG
,mountains,REG
,by,REG
,gravity,REG
,sliding,O
,and,O
,spreading,REG
,.,O
Sentence 10,Permafrost,DFD
,is,O
,soil,O
,or,O
,rock,O
,that,O
,remains,O
,frozen,O
,for,O
,two,REG
,or,O
,more,O
,consecutive,O
,years,O
,.,O
Sentence 11,A,O
,ground,DFD
,moraine,DFD
