Sentence,Word,Tag
Sentence 1,Erosion,DFD
,is,O
,a,O
,hydraulic,O
,action,O
,",",O
,derived,O
,from,O
,the,REG
,energy,REG
,of,REG
,running,REG
,water,REG
,.,O
Sentence 2,Basin,DFD
,morphometry,DFD
,is,O
,a,O
,function,O
,of,O
,stream,O
,order,O
,and,O
,drainage,O
,patterns,O
,.,O
Sentence 3,An,O
,iceberg,DFD
,is,O
,a,O
,piece,O
,of,O
,ice,REG
,that,REG
,has,REG
,broken,REG
,from,REG
,an,REG
,ice,O
,shelf,REG
,and,O
,that,REG
,floats,REG
,in,REG
,the,REG
,Ocean,REG
,.,O
Sentence 4,Abrasion,DFD
,is,O
,a,O
,particle-by-particle,O
,erosion,O
,process,O
,and,O
,produces,O
,large,O
,amounts,O
,of,O
,silt-sized,O
,(,O
,0,O
,.,O
,002,O
,-,O
,0,O
,.,O
,0625,O
,mm,O
,),O
,sediments,O
,.,O
Sentence 5,An,O
,aquifer,DFD
,is,O
,defined,O
,as,O
,a,O
,body,O
,of,O
,rock,O
,or,O
,unconsolidated,O
,sediment,O
,that,REG
,has,REG
,sufficient,REG
,permeability,REG
,to,REG
,allow,REG
,water,REG
,to,REG
,flow,REG
,through,REG
,it,REG
,.,O
Sentence 6,The,O
,term,O
,arenite,DFD
,applies,O
,to,O
,a,O
,so-called,O
,clean,O
,sandstone,O
,",",O
,meaning,O
,one,O
,with,O
,less,O
,than,O
,15%,O
,silt,O
,and,O
,clay,O
,.,O
Sentence 7,A,O
,periglacial,DFD
,environment,DFD
,is,O
,defined,O
,as,O
,any,O
,place,O
,where,O
,the,O
,geomorphic,O
,processes,O
,related,O
,to,O
,the,O
,freezing,O
,of,O
,water,O
,occurs,O
,.,O
Sentence 8,A,O
,bay,DFD
,is,REG
,a,REG
,water,O
,body,O
,having,REG
,a,REG
,baymouth,REG
,less,REG
,than,REG
,24,REG
,nautical,REG
,miles,REG
,wide,REG
,and,O
,an,REG
,area,REG
,that,REG
,is,REG
,equal,REG
,to,REG
,or,REG
,greater,REG
,than,REG
,the,REG
,area,REG
,of,REG
,a,O
,semicircle,REG
,whose,REG
,diameter,REG
,is,O
,equal,REG
,to,REG
,the,REG
,width,REG
,of,REG
,the,REG
,baymouth,REG
Sentence 9,An,O
,isolated,DFD
,system,DFD
,is,O
,a,O
,system,O
,that,O
,is,O
,completely,O
,cut,REG
,off,REG
,from,REG
,its,REG
,surroundings,REG
,and,O
,that,O
,cannot,O
,therefore,O
,import,O
,or,O
,export,O
,matter,O
,or,O
,energy,O
,.,O
Sentence 10,A,O
,fault,DFD
,is,O
,a,O
,fracture,O
,along,O
,which,O
,movement,O
,associated,O
,with,O
,an,O
,earthquake,O
,has,O
,taken,O
,place,O
,",",O
,one,O
,side,O
,of,O
,the,O
,fault,O
,moving,O
,differentially,O
,to,O
,the,O
,other,O
,side,O
,.,O
Sentence 11,Honeycomb,DFD
,weathering,DFD
,is,O
,a,REG
,term,O
,used,O
,to,O
,describe,O
,numerous,O
,small,O
,pits,O
,or,O
,alveoli,O
,",",O
,no,REG
,more,REG
