Sentence,Word,Tag
Sentence 1,Erosion,DFD
,is,O
,a,O
,hydraulic,GEN
,action,GEN
,",",O
,derived,O
,from,O
,the,O
,energy,O
,of,O
,running,O
,water,O
,.,O
Sentence 2,Basin,DFD
,morphometry,DFD
,is,O
,a,O
,function,GEN
,of,O
,stream,O
,order,O
,and,O
,drainage,O
,patterns,O
,.,O
Sentence 3,An,O
,iceberg,DFD
,is,O
,a,O
,piece,GEN
,of,GEN
,ice,GEN
,that,O
,has,O
,broken,O
,from,O
,an,O
,ice,O
,shelf,O
,and,O
,that,O
,floats,O
,in,O
,the,O
,Ocean,O
,.,O
Sentence 4,Abrasion,DFD
,is,O
,a,O
,particle-by-particle,O
,erosion,O
,process,GEN
,and,O
,produces,O
,large,O
,amounts,O
,of,O
,silt-sized,O
,(,O
,0,O
,.002,O
,-,O
,0,O
,.0625,O
,mm,O
,),O
,sediments,O
,.,O
Sentence 5,An,O
,aquifer,DFD
,is,O
,defined,O
,as,O
,a,O
,body,GEN
,of,GEN
,rock,GEN
,or,O
,unconsolidated,O
,sediment,GEN
,that,O
,has,O
,sufficient,O
,permeability,O
,to,O
,allow,O
,water,O
,to,O
,flow,O
,through,O
,it,O
,.,O
Sentence 6,The,O
,term,O
,arenite,DFD
,applies,O
,to,O
,a,O
,so-called,O
,clean,O
,sandstone,GEN
,",",O
,meaning,O
,one,O
,with,O
,less,O
,than,O
,15%,O
,silt,O
,and,O
,clay,O
,.,O
Sentence 7,A,O
,periglacial,DFD
,environment,DFD
,is,O
,defined,O
,as,O
,any,O
,place,GEN
,where,O
,the,O
,geomorphic,O
,processes,O
,related,O
,to,O
,the,O
,freezing,O
,of,O
,water,O
,occurs,O
,.,O
Sentence 8,A,O
,bay,DFD
,is,O
,a,O
,water,GEN
,body,GEN
,having,O
,a,O
,baymouth,O
,less,O
,than,O
,24,O
,nautical,O
,miles,O
,wide,O
,and,O
,an,O
,area,O
,that,O
,is,O
,equal,O
,to,O
,or,O
,greater,O
,than,O
,the,O
,area,O
,of,O
,a,O
,semicircle,O
,whose,O
,diameter,O
,is,O
,equal,O
,to,O
,the,O
,width,O
,of,O
,the,O
,baymouth,O
Sentence 9,An,O
,isolated,DFD
,system,DFD
,is,O
,a,O
,system,GEN
,that,O
,is,O
,completely,O
,cut,O
,off,O
,from,O
,its,O
,surroundings,O
,and,O
,that,O
,cannot,O
,therefore,O
,import,O
,or,O
,export,O
,matter,O
,or,O
,energy,O
,.,O
Sentence 10,A,O
,fault,DFD
,is,O
,a,O
,fracture,GEN
,along,O
,which,O
,movement,O
,associated,O
,with,O
,an,O
,earthquake,O
,has,O
,taken,O
,place,O
,",",O
,one,O
,side,O
,of,O
,the,O
,fault,O
,moving,O
,differentially,O
,to,O
,the,O
,other,O
,side,O
,.,O
Sentence 11,Honeycomb,DFD
,weathering,DFD
,is,O
,a,O
,term,O
,used,O
,to,O
,describe,O
,numerous,O
,small,O
,pits,O
,or,O
,alveoli,O
,",",O
,no,O
,more,O
,than,O
,a,O
,few,O
,centimetres,O
,wide,O
,and,O
,deep,O
,",",O
