Sentence,Word,Tag
Sentence 1,Ljudsko,O
,ime,O
,lašt,DFD
,izhaja,O
,iz,O
,območja,O
,Julijskih,O
,Alp,O
,in,O
,ponazarja,O
,specifično,O
,obliko,O
,škrapelj,GEN
,.,O
,Gre,O
,za,O
,večje,O
,skladovne,O
,police,O
,ali,O
,kamnite,O
,ploskve,O
,z,O
,velikimi,O
,ravnimi,O
,strukturnimi,O
,površinami,O
,in,O
,enakim,O
,strmcem,O
,.,O
Sentence 2,Preperevanje,O
,ali,O
,vodna,DFD
,erozija,DFD
,odnese,O
,/,O
,izpodje,O
,manj,O
,odporno,O
,kamnino,O
,",",O
,ostane,O
,pa,O
,bolj,O
,odporna,O
,kamnina,O
,",",O
,ki,O
,predstavlja,O
,streho,O
,spodmola,O
,.,O
Sentence 3,Preperevanje,DFD
,ali,O
,vodna,O
,erozija,O
,odnese,O
,/,O
,izpodje,O
,manj,O
,odporno,O
,kamnino,O
,",",O
,ostane,O
,pa,O
,bolj,O
,odporna,O
,kamnina,O
,",",O
,ki,O
,predstavlja,O
,streho,O
,spodmola,O
,.,O
Sentence 4,Uvala,DFD
,je,O
,večja,O
,kraška,GEN
,globel,GEN
,skledaste,O
,oblike,O
,z,O
,neravnim,O
,dnom,O
,in,O
,sklenjenim,O
,višjim,O
,obodom,O
,.,O
,Praviloma,O
,je,O
,manjša,O
,od,O
,kraškega,O
,polja,O
,in,O
,večja,O
,od,O
,vrtače,O
,.,O
Sentence 5,Slovenska,O
,kraška,O
,terminologija,O
,navaja,O
,",",O
,da,O
,je,O
,vrtača,DFD
,:,O
,depresijska,GEN
,oblika,GEN
,okroglaste,O
,oblike,O
,",",O
,navadno,O
,globoka,O
,več,O
,metrov,O
,in,O
,je,O
,bolj,O
,široka,O
,kot,O
,globoka,O
,.,O
Sentence 6,Požiralnik,DFD
,je,O
,definiran,O
,kot,O
,špranja,GEN
,ali,O
,brezno,GEN
,v,O
,skalnem,O
,koritu,O
,",",O
,ki,O
,požira,O
,vodo,O
,",",O
,ponikev,O
,kot,O
,odprtina,O
,",",O
,v,O
,katero,O
,ponika,O
,voda,O
,in,O
,je,O
,večinoma,O
,prekrita,O
,z,O
,naplavino,O
,",",O
,ponor,O
,pa,O
,kot,O
,večja,O
,vodoravna,O
,odprtina,O
,v,O
,katero,O
,teče,O
,potok,O
,ali,O
,reka,O
Sentence 7,Slovenska,O
,kraška,O
,terminologija,O
,opredeli,O
,hum,DFD
,kot,O
,osamljen,O
,korozijsko-erozijsko-denudacijski,O
,ostanek,GEN
,višjega,GEN
,reliefa,GEN
,",",O
,zlasti,O
,na,O
,dnu,O
,kraškega,O
,polja,O
,.,O
Sentence 8,Ford,O
,in,O
,Williams,O
,opišeta,O
,hume,DFD
,kot,O
,eno,O
,izmed,O
,štirih,O
,tipov,GEN
,stolpičastega,GEN
,krasa,GEN
,",",O
,in,O
,sicer,O
,kot,O
,ostanke,O
,vzpetin,O
,",",O
,ki,O
,štrlijo,O
,iz,O
,izravnanega,O
,karbonatnega,O
,površja,O
,",",O
,ki,O
,ga,O
,prekriva,O
,aluvij,O
,.,O
,karbonatnega,O
Sentence 9,Kraška,DFD
,polja,DFD
,so,O
,največje,O
,in,O
,gospodarsko,O
,najpomembnejše,O
,kotanje,GEN
,v,O
,dinarskem,O
,krasu,O
,.,O
Sentence 10,Škavnice,DFD
,so,O
,skledaste,O
,vdolbine,GEN
,na,O
,vodoravni,O
,ali,O
,rahlo,O
,nagnjeni,O
,skalni,O
,podlagi,O
,.,O
Sentence 11,Žlebiči,DFD
,in,O
,žlebovi,DFD
,so,O
,žlebaste,GEN
,izjedenine,GEN
,s,O
,polkrožnim,O
,prečnim,O
,prerezom,O
,",",O
,ki,O
,se,O
,oblikujejo,O
,na,O
,ravnem,O
,kompaktnem,O
,skalnem,O
,površju,O
,in,O
,potekajo,O
,v,O
,smeri,O
,največjega,O
,naklona,O
Sentence 12,Erozijski,DFD
,jarki,DFD
,nastanejo,O
,s,O
,kanaliziranjem,O
,površinskega,O
,toka,O
,",",O
,predvsem,O
,tam,O
,",",O
,kjer,O
,so,O
,že,O
,reliefno,O
,(,O
,naravno,O
,),O
,zasnovane,O
,linije,O
,odtoka,O
,",",O
,pa,O
,tudi,O
,ob,O
,raznih,O
,antropogenih,O
,oblikah,O
,(,O
,npr,O
,.,O
,izkopih,O
,",",O
,njivskih,O
,brazdah,O
,",",O
,mejah,O
,parcel,O
,",",O
,poteh,O
,in,O
,cestah,O
,),O
,.,O
Sentence 13,Veter,DFD
,je,O
,gibanje,GEN
,zraka,GEN
,",",O
,ki,O
,nastane,O
,zaradi,O
,razlik,O
,v,O
,zračnem,O
,tlaku,O
,.,O
Sentence 14,Tlačna,DFD
,trdnost,DFD
,je,O
,odpornost,GEN
,proti,GEN
,tlačni,GEN
,obremenitvi,GEN
,",",O
,ki,O
,jo,O
,kamnina,O
,prenese,O
,",",O
,preden,O
,se,O
,zdrobi,O
,.,O
Sentence 15,Po,O
,prvi,O
,definiciji,O
,je,O
,spodmol,DFD
,prostor,GEN
,pod,GEN
,previsom,GEN
,v,O
,skalovju,O
,",",O
,po,O
,drugi,O
,pa,O
,kratka,O
,vodoravna,GEN
,jama,GEN
,pod,O
,previsno,O
,steno,O
,.,O
,kratka,O
Sentence 16,Večji,O
,ali,O
,manjši,O
,del,O
,kraškega,O
,polja,O
,je,O
,ravnica,DFD
,",",O
,običajno,O
,obdelana,O
,zemlja,GEN
,",",O
,ki,O
,je,O
,največkrat,O
,na,O
,naplavini,O
,ali,O
,debeli,O
,prsti,O
,.,O
Sentence 17,Odlaganje,DFD
,sige,DFD
,je,O
,proces,GEN
,",",O
,ki,O
,je,O
,ravno,O
,nasproten,O
,koroziji,O
,.,O
Sentence 18,Glaciologija,DFD
,je,O
,raziskava,O
,in,O
,preučevanje,GEN
,ledenikov,O
,",",O
,ledenih,O
,plošč,O
,",",O
,morskega,O
,ledu,O
,",",O
,sezonskega,O
,snega,O
,",",O
,zamrznjenih,O
,tal,O
,in,O
,vseh,O
,drugih,O
,naravnih,O
,pojavov,O
,",",O
,ki,O
,vključujejo,O
,led,O
,in,O
,njegove,O
,učinke,O
,na,O
,okolje,O
,.,O
Sentence 19,Podkategorija,O
,te,O
,znanosti,GEN
,je,O
,astroglaciologija,DFD
,",",O
,ki,O
,je,O
,nastala,O
,po,O
,odkritju,O
,vodnega,O
,ledu,O
,na,O
,Luni,O
,",",O
,Evropi,O
,",",O
,Marsu,O
,in,O
,Plutonu,O
,.,O
Sentence 20,Spodmol,DFD
,je,O
,definiran,O
,tudi,O
,kot,O
,previs,GEN
,na,O
,morski,O
,",",O
,redkeje,O
,jezerski,O
,obali,O
,",",O
,ki,O
,ga,O
,ustvari,O
,erozijsko,O
,delovanje,O
,valov,O
,in,O
,kot,O
,kraška,O
,jama,O
,.,O
Sentence 21,Tafon,DFD
,in,O
,niša,DFD
,(,O
,spodmoli,O
,),O
,sta,O
,dve,O
,različni,O
,reliefni,GEN
,obliki,GEN
,",",O
,čeprav,O
,naj,O
,bi,O
,obe,O
,obliki,O
,nastali,O
,z,O
,votlinastim,O
,preperevanjem,O
,.,O
,Po,O
,drugi,O
,strani,O
,imamo,O
,avtorje,O
,",",O
,ki,O
,spodmole,O
,enačijo,O
,s,O
,tafoni,O
,.,O
Sentence 22,Geomorfologija,DFD
,je,O
,veda,GEN
,",",O
,ki,O
,razlaga,O
,odnose,O
,med,O
,geomorfnimi,O
,procesi,O
,in,O
,reliefnimi,O
,oblikami,O
,.,O
Sentence 23,Dinarski,DFD
,kras,DFD
,je,O
,kompletno,O
,razvit,O
,kras,GEN
,",",O
,katerega,O
,značilnost,O
,so,O
,velike,O
,kraške,O
,depresije,O
,ali,O
,z,O
,drugimi,O
,besedami,O
,kraška,O
,polja,O
,.,O
Sentence 24,Zoogena,DFD
,breča,DFD
,je,O
,značilna,O
,kamnina,GEN
,tega,O
,obdobja,O
,",",O
,ki,O
,je,O
,nastala,O
,predvsem,O
,iz,O
,ostankov,O
,favnističnega,O
,izvora,O
,.,O
Sentence 25,Jarkovna,DFD
,erozija,DFD
,je,O
,globinska,GEN
,erozija,GEN
,",",O
,pri,O
,kateri,O
,na,O
,primer,O
,z,O
,zdruèvanjem,O
,erozijskih,O
,žlebičev,O
,nastajajo,O
,več,O
,metrov,O
,globoko,O
,in,O
,več,O
,deset,O
,metrov,O
,dolgi,O
,erozijski,O
,jarki,O
,.,O
Sentence 26,Plazovitost,DFD
,je,O
,skladnost,GEN
,med,O
,usmerjenostjo,O
,pobočij,O
,in,O
,vpadom,O
,kamninskih,O
,plasti,O
,.,O
Sentence 27,Spodmoli,DFD
,so,O
,vdolbine,GEN
,v,O
,navpičnih,O
,stenah,O
,pod,O
,previsi,O
,",",O
,ki,O
,navadno,O
,ne,O
,dosegajo,O
,dimenzij,O
,jam,O
,",",O
,njihova,O
,širina,O
,pa,O
,je,O
,večja,O
,od,O
,globine,O
,.,O
Sentence 28,Dolci,DFD
,so,O
,v,O
,Sloveniji,O
,značilni,O
,za,O
,dolomitna,O
,površja,O
,",",O
,njihova,O
,morfogeneza,O
