Sentence,Word,Tag
Sentence 1,An,O
,aquifer,DFD
,is,O
,a,O
,body,O
,of,O
,rock,O
,that,O
,can,O
,store,O
,and,O
,transmit,O
,significant,O
,quantities,O
,of,O
,water,O
,(,O
,Gunn,O
,",",O
,2004,O
,),O
,.,O
Sentence 2,Aragonite,DFD
,is,O
,a,O
,metastable,O
,modification,O
,of,O
,CaCO3,O
,",",O
,which,O
,sometimes,O
,forms,O
,in,O
,seawater,O
,and,O
,transforms,O
,into,O
,calcite,O
,during,O
,diagenesis,O
,.,O
Sentence 3,When,O
,an,O
,aquifer,DFD
,is,O
,bounded,FORM
,on,FORM
,top,FORM
,and,FORM
,bottom,FORM
,by,FORM
,confining,FORM
,beds,FORM
,",",O
,it,O
,is,O
,called,O
,an,O
,artesian,DFD
,aquifer,O
,.,O
Sentence 4,The,O
,term,O
,bedding-plane,DFD
,cave,DFD
,is,O
,strictly,O
,applied,O
,to,O
,a,FORM
,passage,O
,that,O
,has,O
,not,FORM
,enlarged,FORM
,by,FORM
,growth,FORM
,into,FORM
,a,O
,major,FORM
,tube,FORM
,or,FORM
,canyon,FORM
,",",O
,but,O
,has,O
,remained,O
,almost,O
,entirely,O
,on,O
,the,O
,bedding,O
,plane,O
,.,O
Sentence 5,A,DFD
,cave,DFD
,is,O
,an,O
,airfilled,O
,underground,O
,void,O
,",",O
,large,O
,enough,O
,to,O
,be,O
,examined,O
,in,O
,some,O
,way,O
,by,O
,man,O
,.,O
Sentence 6,Glacial,O
,cirques,O
,have,O
,been,O
,transformed,O
,by,O
,solution,O
,into,O
,closed,O
,depressions,O
,",",O
,and,O
,are,O
,called,O
,cirque-dolines,DFD
,.,O
Sentence 7,Less,O
,permeable,O
,rock,O
,below,O
,an,O
,aquifer,O
,that,O
,keeps,O
,groundwater,O
,from,O
,draining,O
,away,O
,is,O
,called,O
,a,O
,confining,DFD
,bed,DFD
,(,O
,also,O
,known,O
,as,O
,aquitard,O
,or,O
,aquiclude,O
,),O
,.,O
Sentence 8,Less,O
,permeable,O
,rock,O
,below,O
,an,O
,aquifer,O
,that,O
,keeps,O
,groundwater,O
,from,O
,draining,O
,away,O
,is,O
,called,O
,a,O
,confining,O
,bed,O
,(,O
,also,O
,known,O
,as,O
,aquitard,DFD
,or,O
,aquiclude,DFD
,),O
,.,O
Sentence 9,Karst,O
,formed,O
,by,O
,the,O
,influence,O
,surface,O
,river,O
,flow,O
,could,O
,be,O
,designated,O
,by,O
,the,O
,term,O
,of,O
,contact,DFD
,karst,DFD
,.,O
Sentence 10,Dolomite,DFD
,is,O
,a,O
,type,O
,of,O
,rock,O
,that,O
,dissolves,O
,and,O
,is,O
,karstified,O
,similarly,O
,as,O
,limestone,O
,.,O
Sentence 11,The,O
,vertical,O
,change,O
,in,O
,the,O
,level,O
,of,O
,the,O
,potentiometric,O
,surface,O
,at,O
,the,O
,well,O
,is,O
,called,O
,the,O
,drawdown,DFD
,.,O
Sentence 12,Dry,DFD
,valley,DFD
,is,O
,a,O
,valley,O
,that,O
,generally,O
,lacks,O
,a,O
,stream,O
,",",O
,although,O
,one,O
,may,O
,occasionally,O
,form,O
,during,O
,peak,O
,rainfall,O
,events,O
,.,O
Sentence 13,Endokarst,DFD
,is,O
,defined,O
,as,O
,karst,O
,developing,O
,in,O
,the,O
,lower,O
,part,O
,of,O
,the,O
,karstosphere,O
