Sentence,Word,Tag
Sentence 1,An,O
,aquifer,DFD
,is,O
,a,O
,body,O
,of,REG
,rock,O
,that,O
,can,REG
,store,REG
,and,REG
,transmit,REG
,significant,REG
,quantities,REG
,of,O
,water,REG
,(,O
,Gunn,O
,",",O
,2004,O
,),O
,.,O
Sentence 2,Aragonite,DFD
,is,O
,a,O
,metastable,O
,modification,O
,of,O
,CaCO3,O
,",",O
,which,O
,sometimes,O
,forms,O
,in,O
,seawater,O
,and,O
,transforms,O
,into,O
,calcite,O
,during,O
,diagenesis,O
,.,O
Sentence 3,When,O
,an,O
,aquifer,DFD
,is,O
,bounded,REG
,on,REG
,top,REG
,and,REG
,bottom,REG
,by,REG
,confining,REG
,beds,REG
,",",O
,it,O
,is,O
,called,O
,an,O
,artesian,DFD
,aquifer,O
,.,O
Sentence 4,The,O
,term,O
,bedding-plane,DFD
,cave,DFD
,is,O
,strictly,O
,applied,O
,to,O
,a,REG
,passage,O
,that,O
,has,REG
,not,REG
,enlarged,REG
,by,REG
,growth,REG
,into,REG
,a,O
,major,REG
,tube,REG
,or,REG
,canyon,REG
,",",O
,but,O
,has,O
,remained,REG
,almost,REG
,entirely,REG
,on,REG
,the,REG
,bedding,REG
,plane,REG
,.,O
Sentence 5,A,DFD
,cave,DFD
,is,O
,an,O
,airfilled,O
,underground,O
,void,O
,",",O
,large,REG
,enough,REG
,to,REG
,be,REG
,examined,REG
,in,REG
,some,REG
,way,REG
,by,REG
,man,REG
,.,O
Sentence 6,Glacial,O
,cirques,O
,have,REG
,been,REG
,transformed,REG
,by,REG
,solution,REG
,into,REG
,closed,REG
,depressions,REG
,",",O
,and,O
,are,O
,called,O
,cirque-dolines,DFD
,.,O
Sentence 7,Less,O
,permeable,O
,rock,O
,below,O
,an,O
,aquifer,O
,that,O
,keeps,REG
,groundwater,REG
,from,REG
,draining,REG
,away,REG
,is,O
,called,O
,a,O
,confining,DFD
,bed,DFD
,(,O
,also,O
,known,O
,as,O
,aquitard,O
,or,O
,aquiclude,O
,),O
,.,O
Sentence 8,Less,O
,permeable,O
,rock,O
,below,O
,an,O
,aquifer,O
,that,O
,keeps,REG
,groundwater,REG
,from,REG
,draining,REG
,away,REG
,is,O
,called,O
,a,O
,confining,O
,bed,O
,(,O
,also,O
,known,O
,as,O
,aquitard,DFD
,or,O
,aquiclude,DFD
,),O
,.,O
Sentence 9,Karst,O
,formed,REG
,by,REG
,the,REG
,influence,REG
,surface,REG
,river,REG
,flow,REG
,could,O
,be,O
,designated,O
,by,O
,the,O
,term,O
,of,O
,contact,DFD
,karst,DFD
,.,O
Sentence 10,Dolomite,DFD
,is,O
,a,O
,type,O
,of,O
,rock,O
,that,O
,dissolves,O
,and,O
,is,O
,karstified,O
,similarly,O
,as,O
,limestone,O
,.,O
Sentence 11,The,O
,vertical,O
,change,O
,in,O
,the,O
,level,O
,of,O
,the,O
,potentiometric,O
,surface,O
,at,O
,the,O
,well,O
,is,O
,called,O
,the,O
,drawdown,DFD
,.,O
Sentence 12,Dry,DFD
,valley,DFD
,is,O
,a,O
,valley,O
,that,O
,generally,O
,lacks,O
,a,O
,stream,O
,",",O
,although,O
,one,O
,may,O
,occasionally,O
,form,O
,during,O
,peak,O
,rainfall,O
,events,O
,.,O
Sentence 13,Endokarst,DFD
,is,REG
,defined,O
,as,O
,karst,O
,developing,O
,in,REG
