Sentence,Word,Tag
Sentence 1,Udornice,DFD
,so,O
,površinske,GEN
,kraške,GEN
,oblike,GEN
,",",O
,ki,O
,nastanejo,O
,s,O
,podiranjem,O
,stropa,O
,v,O
,podzemnih,O
,jamah,O
,z,O
,aktivnim,O
,vodnim,O
,tokom,O
,",",O
,ko,O
,se,O
,zniža,O
,gladina,O
,podzemne,O
,vode,O
,(,O
,Stepišnik,O
,",",O
,2006,O
,),O
,.,O
Sentence 2,Udornice,DFD
,so,O
,kraške,GEN
,globeli,GEN
,",",O
,ki,O
,nastanejo,O
,z,O
,udori,O
,stropov,O
,nad,O
,podzemnimi,O
,votlinami,O
,.,O
Sentence 3,Udornice,DFD
,so,O
,zaprte,O
,kraške,GEN
,globeli,GEN
,različnih,O
,dimenzij,O
,in,O
,oblik,O
,",",O
,ki,O
,so,O
,nastale,O
,z,O
,udori,O
,stropov,O
,nad,O
,podzemnimi,O
,votlinami,O
,.,O
,različnih,O
Sentence 4,Udornice,DFD
,so,O
,večje,O
,kraške,GEN
,kotanje,GEN
,",",O
,ki,O
,so,O
,nastale,O
,zaradi,O
,rušenja,O
,stropa,O
,",",O
,zato,O
,imajo,O
,strma,O
,pobočja,O
,.,O
Sentence 5,Udornice,DFD
,so,O
,površinske,GEN
,kraške,GEN
,oblike,GEN
,",",O
,ki,O
,so,O
,nastale,O
,s,O
,spelogenetskimi,O
,procesi,O
,(,O
,Mihevc,O
,",",O
,2009,O
,),O
,.,O
Sentence 6,Udornice,DFD
,so,O
,izrazita,O
,površinska,GEN
,reliefna,GEN
,oblika,GEN
,",",O
,ki,O
,pa,O
,ima,O
,svoj,O
,izvor,O
,v,O
,podzemnem,O
,dogajanju,O
,.,O
Sentence 7,Udornice,DFD
,so,O
,površinske,GEN
,kraške,GEN
,globeli,GEN
,različnih,O
,oblik,O
,in,O
,velikosti,O
,",",O
,katerih,O
,nastanek,O
,povezujemo,O
,s,O
,točkastim,O
,vertikalnim,O
,odnašanjem,O
,kamnine,O
,v,O
,podzemlje,O
,",",O
,bodisi,O
,z,O
,nenadnimi,O
,udori,O
,nad,O
,jamskimi,O
,prostori,O
,",",O
,bodisi,O
,s,O
,postopnim,O
,odnašanjem,O
,kamnine,O
,nad,O
,aktivnimi,O
,jamskimi,O
,rovi,O
,(,O
,Stepišnik,O
,",",O
,2001,O
,),O
,.,O
,različnih,O
Sentence 8,Udornice,DFD
,so,O
,zaprte,O
